Alter
27
65
65
25
40
59
66
52
68
38
45
51
75
28
51
14
78
58
27
47
70
22
65
55
53
63
52
48
49
29
29
17
52
50
26
17
65
26
84
41
55
60
27
20
36
37
65
77
74
65
37
26
81
72
31
55
0
50
58
51
48
32
54
45
63
23
67
62
75
56
32
26
49
42
67
28
25
65
72
65
26
61
28
23
27
30
30
32
58
41
27
58
53
57
16
60
21
21
35
64
18
18
17
23
33
